PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
1,3,0,22,1,0,7.25,0
2,1,1,38,1,0,71.2833,1
3,3,1,26,0,0,7.925,1
4,1,1,35,1,0,53.1,1
5,3,0,35,0,0,8.05,0
7,1,0,54,0,0,51.8625,0
8,3,0,2,3,1,21.075,0
9,3,1,27,0,2,11.1333,1
10,2,1,14,1,0,30.0708,1
11,3,1,4,1,1,16.7,1
12,1,1,58,0,0,26.55,1
13,3,0,20,0,0,8.05,0
14,3,0,39,1,5,31.275,0
15,3,1,14,0,0,7.8542,0
16,2,1,55,0,0,16,1
17,3,0,2,4,1,29.125,0
19,3,1,31,1,0,18,0
21,2,0,35,0,0,26,0
22,2,0,34,0,0,13,1
23,3,1,15,0,0,8.0292,1
24,1,0,28,0,0,35.5,1
25,3,1,8,3,1,21.075,0
26,3,1,38,1,5,31.3875,1
28,1,0,19,3,2,263,0
31,1,0,40,0,0,27.7208,0
34,2,0,66,0,0,10.5,0
35,1,0,28,1,0,82.1708,0
36,1,0,42,1,0,52,0
38,3,0,21,0,0,8.05,0
39,3,1,18,2,0,18,0
40,3,1,14,1,0,11.2417,1
41,3,1,40,1,0,9.475,0
42,2,1,27,1,0,21,0
44,2,1,3,1,2,41.5792,1
45,3,1,19,0,0,7.8792,1
50,3,1,18,1,0,17.8,0
51,3,0,7,4,1,39.6875,0
52,3,0,21,0,0,7.8,0
53,1,1,49,1,0,76.7292,1
54,2,1,29,1,0,26,1
55,1,0,65,0,1,61.9792,0
57,2,1,21,0,0,10.5,1
58,3,0,28.5,0,0,7.2292,0
59,2,1,5,1,2,27.75,1
60,3,0,11,5,2,46.9,0
61,3,0,22,0,0,7.2292,0
63,1,0,45,1,0,83.475,0
64,3,0,4,3,2,27.9,0
67,2,1,29,0,0,10.5,1
68,3,0,19,0,0,8.1583,0
69,3,1,17,4,2,7.925,1
70,3,0,26,2,0,8.6625,0
71,2,0,32,0,0,10.5,0
72,3,1,16,5,2,46.9,0
73,2,0,21,0,0,73.5,0
74,3,0,26,1,0,14.4542,0
75,3,0,32,0,0,56.4958,1
76,3,0,25,0,0,7.65,0
79,2,0,0.83,0,2,29,1
80,3,1,30,0,0,12.475,1
81,3,0,22,0,0,9,0
82,3,0,29,0,0,9.5,1
84,1,0,28,0,0,47.1,0
85,2,1,17,0,0,10.5,1
86,3,1,33,3,0,15.85,1
87,3,0,16,1,3,34.375,0
89,1,1,23,3,2,263,1
90,3,0,24,0,0,8.05,0
91,3,0,29,0,0,8.05,0
92,3,0,20,0,0,7.8542,0
93,1,0,46,1,0,61.175,0
94,3,0,26,1,2,20.575,0
95,3,0,59,0,0,7.25,0
97,1,0,71,0,0,34.6542,0
98,1,0,23,0,1,63.3583,1
99,2,1,34,0,1,23,1
100,2,0,34,1,0,26,0
101,3,1,28,0,0,7.8958,0
103,1,0,21,0,1,77.2875,0
104,3,0,33,0,0,8.6542,0
105,3,0,37,2,0,7.925,0
106,3,0,28,0,0,7.8958,0
107,3,1,21,0,0,7.65,1
109,3,0,38,0,0,7.8958,0
111,1,0,47,0,0,52,0
112,3,1,14.5,1,0,14.4542,0
113,3,0,22,0,0,8.05,0
114,3,1,20,1,0,9.825,0
115,3,1,17,0,0,14.4583,0
116,3,0,21,0,0,7.925,0
117,3,0,70.5,0,0,7.75,0
118,2,0,29,1,0,21,0
119,1,0,24,0,1,247.5208,0
120,3,1,2,4,2,31.275,0
121,2,0,21,2,0,73.5,0
123,2,0,32.5,1,0,30.0708,0
124,2,1,32.5,0,0,13,1
125,1,0,54,0,1,77.2875,0
126,3,0,12,1,0,11.2417,1
128,3,0,24,0,0,7.1417,1
130,3,0,45,0,0,6.975,0
131,3,0,33,0,0,7.8958,0
132,3,0,20,0,0,7.05,0
133,3,1,47,1,0,14.5,0
134,2,1,29,1,0,26,1
135,2,0,25,0,0,13,0
136,2,0,23,0,0,15.0458,0
137,1,1,19,0,2,26.2833,1
138,1,0,37,1,0,53.1,0
139,3,0,16,0,0,9.2167,0
140,1,0,24,0,0,79.2,0
142,3,1,22,0,0,7.75,1
143,3,1,24,1,0,15.85,1
144,3,0,19,0,0,6.75,0
145,2,0,18,0,0,11.5,0
146,2,0,19,1,1,36.75,0
147,3,0,27,0,0,7.7958,1
148,3,1,9,2,2,34.375,0
149,2,0,36.5,0,2,26,0
150,2,0,42,0,0,13,0
151,2,0,51,0,0,12.525,0
152,1,1,22,1,0,66.6,1
153,3,0,55.5,0,0,8.05,0
154,3,0,40.5,0,2,14.5,0
156,1,0,51,0,1,61.3792,0
157,3,1,16,0,0,7.7333,1
158,3,0,30,0,0,8.05,0
161,3,0,44,0,1,16.1,0
162,2,1,40,0,0,15.75,1
163,3,0,26,0,0,7.775,0
164,3,0,17,0,0,8.6625,0
165,3,0,1,4,1,39.6875,0
166,3,0,9,0,2,20.525,1
168,3,1,45,1,4,27.9,0
170,3,0,28,0,0,56.4958,0
171,1,0,61,0,0,33.5,0
172,3,0,4,4,1,29.125,0
173,3,1,1,1,1,11.1333,1
174,3,0,21,0,0,7.925,0
175,1,0,56,0,0,30.6958,0
176,3,0,18,1,1,7.8542,0
178,1,1,50,0,0,28.7125,0
179,2,0,30,0,0,13,0
180,3,0,36,0,0,0,0
183,3,0,9,4,2,31.3875,0
184,2,0,1,2,1,39,1
185,3,1,4,0,2,22.025,1
188,1,0,45,0,0,26.55,1
189,3,0,40,1,1,15.5,0
190,3,0,36,0,0,7.8958,0
191,2,1,32,0,0,13,1
192,2,0,19,0,0,13,0
193,3,1,19,1,0,7.8542,1
194,2,0,3,1,1,26,1
195,1,1,44,0,0,27.7208,1
196,1,1,58,0,0,146.5208,1
198,3,0,42,0,1,8.4042,0
200,2,1,24,0,0,13,0
201,3,0,28,0,0,9.5,0
203,3,0,34,0,0,6.4958,0
204,3,0,45.5,0,0,7.225,0
205,3,0,18,0,0,8.05,1
206,3,1,2,0,1,10.4625,0
207,3,0,32,1,0,15.85,0
208,3,0,26,0,0,18.7875,1
209,3,1,16,0,0,7.75,1
210,1,0,40,0,0,31,1
211,3,0,24,0,0,7.05,0
212,2,1,35,0,0,21,1
213,3,0,22,0,0,7.25,0
214,2,0,30,0,0,13,0
216,1,1,31,1,0,113.275,1
217,3,1,27,0,0,7.925,1
218,2,0,42,1,0,27,0
219,1,1,32,0,0,76.2917,1
220,2,0,30,0,0,10.5,0
221,3,0,16,0,0,8.05,1
222,2,0,27,0,0,13,0
223,3,0,51,0,0,8.05,0
225,1,0,38,1,0,90,1
226,3,0,22,0,0,9.35,0
227,2,0,19,0,0,10.5,1
228,3,0,20.5,0,0,7.25,0
229,2,0,18,0,0,13,0
231,1,1,35,1,0,83.475,1
232,3,0,29,0,0,7.775,0
233,2,0,59,0,0,13.5,0
234,3,1,5,4,2,31.3875,1
235,2,0,24,0,0,10.5,0
237,2,0,44,1,0,26,0
238,2,1,8,0,2,26.25,1
239,2,0,19,0,0,10.5,0
240,2,0,33,0,0,12.275,0
243,2,0,29,0,0,10.5,0
244,3,0,22,0,0,7.125,0
245,3,0,30,0,0,7.225,0
246,1,0,44,2,0,90,0
247,3,1,25,0,0,7.775,0
248,2,1,24,0,2,14.5,1
249,1,0,37,1,1,52.5542,1
250,2,0,54,1,0,26,0
252,3,1,29,1,1,10.4625,0
253,1,0,62,0,0,26.55,0
254,3,0,30,1,0,16.1,0
255,3,1,41,0,2,20.2125,0
256,3,1,29,0,2,15.2458,1
258,1,1,30,0,0,86.5,1
259,1,1,35,0,0,512.3292,1
260,2,1,50,0,1,26,1
262,3,0,3,4,2,31.3875,1
263,1,0,52,1,1,79.65,0
264,1,0,40,0,0,0,0
266,2,0,36,0,0,10.5,0
267,3,0,16,4,1,39.6875,0
268,3,0,25,1,0,7.775,1
269,1,1,58,0,1,153.4625,1
270,1,1,35,0,0,135.6333,1
272,3,0,25,0,0,0,1
273,2,1,41,0,1,19.5,1
274,1,0,37,0,1,29.7,0
276,1,1,63,1,0,77.9583,1
277,3,1,45,0,0,7.75,0
279,3,0,7,4,1,29.125,0
280,3,1,35,1,1,20.25,1
281,3,0,65,0,0,7.75,0
282,3,0,28,0,0,7.8542,0
283,3,0,16,0,0,9.5,0
284,3,0,19,0,0,8.05,1
286,3,0,33,0,0,8.6625,0
287,3,0,30,0,0,9.5,1
288,3,0,22,0,0,7.8958,0
289,2,0,42,0,0,13,1
290,3,1,22,0,0,7.75,1
291,1,1,26,0,0,78.85,1
292,1,1,19,1,0,91.0792,1
293,2,0,36,0,0,12.875,0
294,3,1,24,0,0,8.85,0
295,3,0,24,0,0,7.8958,0
297,3,0,23.5,0,0,7.2292,0
298,1,1,2,1,2,151.55,0
300,1,1,50,0,1,247.5208,1
303,3,0,19,0,0,0,0
306,1,0,0.92,1,2,151.55,1
308,1,1,17,1,0,108.9,1
309,2,0,30,1,0,24,0
310,1,1,30,0,0,56.9292,1
311,1,1,24,0,0,83.1583,1
312,1,1,18,2,2,262.375,1
313,2,1,26,1,1,26,0
314,3,0,28,0,0,7.8958,0
315,2,0,43,1,1,26.25,0
316,3,1,26,0,0,7.8542,1
317,2,1,24,1,0,26,1
318,2,0,54,0,0,14,0
319,1,1,31,0,2,164.8667,1
320,1,1,40,1,1,134.5,1
321,3,0,22,0,0,7.25,0
322,3,0,27,0,0,7.8958,0
323,2,1,30,0,0,12.35,1
324,2,1,22,1,1,29,1
326,1,1,36,0,0,135.6333,1
327,3,0,61,0,0,6.2375,0
328,2,1,36,0,0,13,1
329,3,1,31,1,1,20.525,1
330,1,1,16,0,1,57.9792,1
332,1,0,45.5,0,0,28.5,0
333,1,0,38,0,1,153.4625,0
334,3,0,16,2,0,18,0
337,1,0,29,1,0,66.6,0
338,1,1,41,0,0,134.5,1
339,3,0,45,0,0,8.05,1
340,1,0,45,0,0,35.5,0
341,2,0,2,1,1,26,1
342,1,1,24,3,2,263,1
343,2,0,28,0,0,13,0
344,2,0,25,0,0,13,0
345,2,0,36,0,0,13,0
346,2,1,24,0,0,13,1
347,2,1,40,0,0,13,1
349,3,0,3,1,1,15.9,1
350,3,0,42,0,0,8.6625,0
